flags,instruction,category,intent,response
BM,I have problems with canceling an order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BIM,how can I find information about canceling orders?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I need help with canceling the last order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BIP,could you help me cancelling the last order I made?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,problem with cancelling an order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BI,can you help me canceling my last order?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BE,I do not know how to cancel the last order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BM,problems with canceling my orders,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BM,I have problems with cancelling the last order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BIMP,could you give me information about order cancellations?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I need help canceling the last order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I need help with cancelling the order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BE,I do not want the order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BIP,how could I find information about cancelling an order?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BIMP,would you give me information about order cancellations?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BM,I have problems with cancelling my order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BI,how to cancel an order?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BM,I have problems with cancelling an order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,assistance with cancelling the order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
