flags,instruction,category,intent,response
B,hi do you deliver to {{Delivery City}} please,DELIVERY,delivery_options,"Standard delivery is 3-5 business days, express is next business day; options and costs are shown at checkout."
BM,"hello, change my email preferences thanks",SUBSCRIPTION,manage_newsletter,"Email preferences live under Account > Communications, and every newsletter carries a one-click unsubscribe link."
BM,hey there requesting reimbursement for my purchase,REFUND,get_refund,Refunds are issued to the original payment method within 5-7 business days of the returned item being received.
BQ,i was charged twice for order {{Order Number}} asap,PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
BM,"i need help, problem paying with my credit card please",PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
BQ,hey there delivery times to my area!,DELIVERY,delivery_options,"Standard delivery is 3-5 business days, express is next business day; options and costs are shown at checkout."
BQ,hey there cancel my recent purchase asap,ORDER,cancel_order,Orders can be cancelled from Orders > Cancel within 60 minutes of purchase; after that contact support for a return.
BL,please double charge on my account asap,PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
BL,"i need help, cannot log into my account please",ACCOUNT,recover_password,Use Forgot Password on the sign-in page; the reset link is valid for 30 minutes and may land in spam.
B,"hello, please cancel the purchase i just made",ORDER,cancel_order,Orders can be cancelled from Orders > Cancel within 60 minutes of purchase; after that contact support for a return.
BL,please status of my delivery please!,ORDER,track_order,You can track your order in the Orders section of your account; a live tracking link is also emailed at dispatch.
B,"i need help, how do i subscribe to your newsletter?",SUBSCRIPTION,manage_newsletter,"Email preferences live under Account > Communications, and every newsletter carries a one-click unsubscribe link."
BM,hi delivery times to my area?,DELIVERY,delivery_options,"Standard delivery is 3-5 business days, express is next business day; options and costs are shown at checkout."
B,"i need help, too many promotional emails asap",SUBSCRIPTION,manage_newsletter,"Email preferences live under Account > Communications, and every newsletter carries a one-click unsubscribe link."
BQ,hey there has my parcel shipped yet?,ORDER,track_order,You can track your order in the Orders section of your account; a live tracking link is also emailed at dispatch.
BM,please i was charged but never received the item?,REFUND,get_refund,Refunds are issued to the original payment method within 5-7 business days of the returned item being received.
B,"hello, too many promotional emails?",SUBSCRIPTION,manage_newsletter,"Email preferences live under Account > Communications, and every newsletter carries a one-click unsubscribe link."
BQ,please please cancel the purchase i just made please,ORDER,cancel_order,Orders can be cancelled from Orders > Cancel within 60 minutes of purchase; after that contact support for a return.
BL,"i need help, do you deliver to {{Delivery City}}",DELIVERY,delivery_options,"Standard delivery is 3-5 business days, express is next business day; options and costs are shown at checkout."
BM,please when will my order arrive,DELIVERY,delivery_options,"Standard delivery is 3-5 business days, express is next business day; options and costs are shown at checkout."
BQ,hi requesting reimbursement for my purchase thanks,REFUND,get_refund,Refunds are issued to the original payment method within 5-7 business days of the returned item being received.
BQ,i want to open an account thanks,ACCOUNT,create_account,Create an account from Sign Up with an email address; you will receive a verification link to activate it.
B,"i need help, when will my order arrive thanks",DELIVERY,delivery_options,"Standard delivery is 3-5 business days, express is next business day; options and costs are shown at checkout."
BQ,has my parcel shipped yet please,ORDER,track_order,You can track your order in the Orders section of your account; a live tracking link is also emailed at dispatch.
B,cannot log into my account,ACCOUNT,recover_password,Use Forgot Password on the sign-in page; the reset link is valid for 30 minutes and may land in spam.
BL,hi i forgot my password?,ACCOUNT,recover_password,Use Forgot Password on the sign-in page; the reset link is valid for 30 minutes and may land in spam.
B,hi when will my refund of {{Refund Amount}} arrive thanks,REFUND,get_refund,Refunds are issued to the original payment method within 5-7 business days of the returned item being received.
B,please locked out of my profile asap,ACCOUNT,recover_password,Use Forgot Password on the sign-in page; the reset link is valid for 30 minutes and may land in spam.
BL,hi i was charged twice for order {{Order Number}} thanks,PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
B,i want a refund for order {{Order Number}} please,REFUND,get_refund,Refunds are issued to the original payment method within 5-7 business days of the returned item being received.
B,"i need help, how do i get my money back",REFUND,get_refund,Refunds are issued to the original payment method within 5-7 business days of the returned item being received.
BL,hey there stop sending me marketing emails asap,SUBSCRIPTION,manage_newsletter,"Email preferences live under Account > Communications, and every newsletter carries a one-click unsubscribe link."
B,hi help me create a new profile!,ACCOUNT,create_account,Create an account from Sign Up with an email address; you will receive a verification link to activate it.
